
 VCS Coverage Metrics Release U-2023.03_Full64 Copyright (c) 1991-2023 by Synopsys Inc.
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=45 op=RK_NO_WRITE_READ rs1=22 rs2=22 wb_write=0 wb_rd=0 wb_data=0x00000000 -> rs1_data=0xe0000016 rs2_data=0xe0000016
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=46 op=RK_RANDOM        rs1=23 rs2=23 wb_write=1 wb_rd=23 wb_data=0xe0000017 -> rs1_data=0xe0000017 rs2_data=0xe0000017
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=47 op=RK_NO_WRITE_READ rs1=23 rs2=23 wb_write=0 wb_rd=0 wb_data=0x00000000 -> rs1_data=0xe0000017 rs2_data=0xe0000017
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=48 op=RK_RANDOM        rs1=24 rs2=24 wb_write=1 wb_rd=24 wb_data=0xe0000018 -> rs1_data=0xe0000018 rs2_data=0xe0000018
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=49 op=RK_NO_WRITE_READ rs1=24 rs2=24 wb_write=0 wb_rd=0 wb_data=0x00000000 -> rs1_data=0xe0000018 rs2_data=0xe0000018
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=50 op=RK_RANDOM        rs1=25 rs2=25 wb_write=1 wb_rd=25 wb_data=0xe0000019 -> rs1_data=0xe0000019 rs2_data=0xe0000019
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=51 op=RK_NO_WRITE_READ rs1=25 rs2=25 wb_write=0 wb_rd=0 wb_data=0x00000000 -> rs1_data=0xe0000019 rs2_data=0xe0000019
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=52 op=RK_RANDOM        rs1=26 rs2=26 wb_write=1 wb_rd=26 wb_data=0xe000001a -> rs1_data=0xe000001a rs2_data=0xe000001a
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=53 op=RK_NO_WRITE_READ rs1=26 rs2=26 wb_write=0 wb_rd=0 wb_data=0x00000000 -> rs1_data=0xe000001a rs2_data=0xe000001a
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=54 op=RK_RANDOM        rs1=27 rs2=27 wb_write=1 wb_rd=27 wb_data=0xe000001b -> rs1_data=0xe000001b rs2_data=0xe000001b
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=55 op=RK_NO_WRITE_READ rs1=27 rs2=27 wb_write=0 wb_rd=0 wb_data=0x00000000 -> rs1_data=0xe000001b rs2_data=0xe000001b
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=56 op=RK_RANDOM        rs1=28 rs2=28 wb_write=1 wb_rd=28 wb_data=0xe000001c -> rs1_data=0xe000001c rs2_data=0xe000001c
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=57 op=RK_NO_WRITE_READ rs1=28 rs2=28 wb_write=0 wb_rd=0 wb_data=0x00000000 -> rs1_data=0xe000001c rs2_data=0xe000001c
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=58 op=RK_RANDOM        rs1=29 rs2=29 wb_write=1 wb_rd=29 wb_data=0xe000001d -> rs1_data=0xe000001d rs2_data=0xe000001d
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=59 op=RK_NO_WRITE_READ rs1=29 rs2=29 wb_write=0 wb_rd=0 wb_data=0x00000000 -> rs1_data=0xe000001d rs2_data=0xe000001d
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=60 op=RK_RANDOM        rs1=30 rs2=30 wb_write=1 wb_rd=30 wb_data=0xe000001e -> rs1_data=0xe000001e rs2_data=0xe000001e
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=61 op=RK_NO_WRITE_READ rs1=30 rs2=30 wb_write=0 wb_rd=0 wb_data=0x00000000 -> rs1_data=0xe000001e rs2_data=0xe000001e
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=62 op=RK_RANDOM        rs1=31 rs2=31 wb_write=1 wb_rd=31 wb_data=0xe000001f -> rs1_data=0xe000001f rs2_data=0xe000001f
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=63 op=RK_NO_WRITE_READ rs1=31 rs2=31 wb_write=0 wb_rd=0 wb_data=0x00000000 -> rs1_data=0xe000001f rs2_data=0xe000001f
[PASS] seq=stress_repeated_write_same_reg         cyc=0 op=RK_PLAIN_WRITE   rs1=2 rs2=3 wb_write=1 wb_rd=25 wb_data=0xf0f00000 -> rs1_data=0xe0000002 rs2_data=0xe0000003
[PASS] seq=stress_repeated_write_same_reg         cyc=1 op=RK_PLAIN_WRITE   rs1=2 rs2=3 wb_write=1 wb_rd=25 wb_data=0xf0f00001 -> rs1_data=0xe0000002 rs2_data=0xe0000003
[PASS] seq=stress_repeated_write_same_reg         cyc=2 op=RK_PLAIN_WRITE   rs1=2 rs2=3 wb_write=1 wb_rd=25 wb_data=0xf0f00002 -> rs1_data=0xe0000002 rs2_data=0xe0000003
[PASS] seq=stress_repeated_write_same_reg         cyc=3 op=RK_PLAIN_WRITE   rs1=2 rs2=3 wb_write=1 wb_rd=25 wb_data=0xf0f00003 -> rs1_data=0xe0000002 rs2_data=0xe0000003
[PASS] seq=stress_repeated_write_same_reg         cyc=4 op=RK_PLAIN_WRITE   rs1=2 rs2=3 wb_write=1 wb_rd=25 wb_data=0xf0f00004 -> rs1_data=0xe0000002 rs2_data=0xe0000003
[PASS] seq=stress_repeated_write_same_reg         cyc=5 op=RK_PLAIN_WRITE   rs1=2 rs2=3 wb_write=1 wb_rd=25 wb_data=0xf0f00005 -> rs1_data=0xe0000002 rs2_data=0xe0000003
[PASS] seq=stress_repeated_write_same_reg         cyc=6 op=RK_PLAIN_WRITE   rs1=2 rs2=3 wb_write=1 wb_rd=25 wb_data=0xf0f00006 -> rs1_data=0xe0000002 rs2_data=0xe0000003
[PASS] seq=stress_repeated_write_same_reg         cyc=7 op=RK_PLAIN_WRITE   rs1=2 rs2=3 wb_write=1 wb_rd=25 wb_data=0xf0f00007 -> rs1_data=0xe0000002 rs2_data=0xe0000003
[PASS] seq=stress_repeated_write_same_reg         cyc=8 op=RK_NO_WRITE_READ rs1=25 rs2=25 wb_write=0 wb_rd=0 wb_data=0x00000000 -> rs1_data=0xf0f00007 rs2_data=0xf0f00007
[PASS] seq=stress_alternating_write_target        cyc=0 op=RK_PLAIN_WRITE   rs1=0 rs2=0 wb_write=1 wb_rd=18 wb_data=0x10000000 -> rs1_data=0x00000000 rs2_data=0x00000000
[PASS] seq=stress_alternating_write_target        cyc=1 op=RK_PLAIN_WRITE   rs1=0 rs2=0 wb_write=1 wb_rd=19 wb_data=0x10000001 -> rs1_data=0x00000000 rs2_data=0x00000000
[PASS] seq=stress_alternating_write_target        cyc=2 op=RK_PLAIN_WRITE   rs1=0 rs2=0 wb_write=1 wb_rd=18 wb_data=0x10000002 -> rs1_data=0x00000000 rs2_data=0x00000000
[PASS] seq=stress_alternating_write_target        cyc=3 op=RK_PLAIN_WRITE   rs1=0 rs2=0 wb_write=1 wb_rd=19 wb_data=0x10000003 -> rs1_data=0x00000000 rs2_data=0x00000000
[PASS] seq=stress_alternating_write_target        cyc=4 op=RK_PLAIN_WRITE   rs1=0 rs2=0 wb_write=1 wb_rd=18 wb_data=0x10000004 -> rs1_data=0x00000000 rs2_data=0x00000000
[PASS] seq=stress_alternating_write_target        cyc=5 op=RK_PLAIN_WRITE   rs1=0 rs2=0 wb_write=1 wb_rd=19 wb_data=0x10000005 -> rs1_data=0x00000000 rs2_data=0x00000000
[PASS] seq=stress_alternating_write_target        cyc=6 op=RK_PLAIN_WRITE   rs1=0 rs2=0 wb_write=1 wb_rd=18 wb_data=0x10000006 -> rs1_data=0x00000000 rs2_data=0x00000000
[PASS] seq=stress_alternating_write_target        cyc=7 op=RK_PLAIN_WRITE   rs1=0 rs2=0 wb_write=1 wb_rd=19 wb_data=0x10000007 -> rs1_data=0x00000000 rs2_data=0x00000000
[PASS] seq=cross_sequence_persistence_check_x5    cyc=0 op=RK_NO_WRITE_READ rs1=5 rs2=5 wb_write=0 wb_rd=0 wb_data=0x00000000 -> rs1_data=0xe0000005 rs2_data=0xe0000005
[PASS] seq=crv_seq_0                              cyc=0 op=RK_BYPASS_RS1    rs1=9 rs2=19 wb_write=1 wb_rd=9 wb_data=0x894926ad -> rs1_data=0x894926ad rs2_data=0x10000007
[PASS] seq=crv_seq_0                              cyc=1 op=RK_BYPASS_RS1    rs1=1 rs2=2 wb_write=1 wb_rd=1 wb_data=0xd582ebbd -> rs1_data=0xd582ebbd rs2_data=0xe0000002
[PASS] seq=crv_seq_0                              cyc=2 op=RK_BYPASS_RS1    rs1=6 rs2=24 wb_write=1 wb_rd=6 wb_data=0xd0598788 -> rs1_data=0xd0598788 rs2_data=0xe0000018
[PASS] seq=crv_seq_0                              cyc=3 op=RK_BYPASS_RS2    rs1=13 rs2=4 wb_write=1 wb_rd=4 wb_data=0xfd50dc5e -> rs1_data=0xe000000d rs2_data=0xfd50dc5e
[PASS] seq=crv_seq_0                              cyc=4 op=RK_X0_ACCESS     rs1=30 rs2=27 wb_write=1 wb_rd=0 wb_data=0x2237331f -> rs1_data=0xe000001e rs2_data=0xe000001b
[PASS] seq=crv_seq_0                              cyc=5 op=RK_BYPASS_RS1    rs1=31 rs2=16 wb_write=1 wb_rd=31 wb_data=0x50e03c60 -> rs1_data=0x50e03c60 rs2_data=0xe0000010
[PASS] seq=crv_seq_0                              cyc=6 op=RK_BYPASS_RS1    rs1=10 rs2=12 wb_write=1 wb_rd=10 wb_data=0x8fa61825 -> rs1_data=0x8fa61825 rs2_data=0xe000000c
[PASS] seq=crv_seq_0                              cyc=7 op=RK_X0_ACCESS     rs1=13 rs2=8 wb_write=1 wb_rd=0 wb_data=0xe4c4a250 -> rs1_data=0xe000000d rs2_data=0xe0000008
[PASS] seq=crv_seq_0                              cyc=8 op=RK_BYPASS_RS2    rs1=24 rs2=17 wb_write=1 wb_rd=17 wb_data=0xb031786a -> rs1_data=0xe0000018 rs2_data=0xb031786a
[PASS] seq=crv_seq_0                              cyc=9 op=RK_BYPASS_BOTH   rs1=24 rs2=24 wb_write=1 wb_rd=24 wb_data=0x5090b81a -> rs1_data=0x5090b81a rs2_data=0x5090b81a
[PASS] seq=crv_seq_0                              cyc=10 op=RK_X0_ACCESS     rs1=9 rs2=20 wb_write=1 wb_rd=0 wb_data=0xfb0d011c -> rs1_data=0x894926ad rs2_data=0xe0000014
[PASS] seq=crv_seq_0                              cyc=11 op=RK_RANDOM        rs1=4 rs2=17 wb_write=1 wb_rd=22 wb_data=0xf1efe7cc -> rs1_data=0xfd50dc5e rs2_data=0xb031786a
[PASS] seq=crv_seq_0                              cyc=12 op=RK_RANDOM        rs1=4 rs2=4 wb_write=1 wb_rd=30 wb_data=0x44435f75 -> rs1_data=0xfd50dc5e rs2_data=0xfd50dc5e
[PASS] seq=crv_seq_0                              cyc=13 op=RK_RANDOM        rs1=16 rs2=4 wb_write=0 wb_rd=29 wb_data=0x94257363 -> rs1_data=0xe0000010 rs2_data=0xfd50dc5e
[PASS] seq=crv_seq_0                              cyc=14 op=RK_BYPASS_RS2    rs1=13 rs2=29 wb_write=1 wb_rd=29 wb_data=0x32eb9512 -> rs1_data=0xe000000d rs2_data=0x32eb9512
[PASS] seq=crv_seq_0                              cyc=15 op=RK_BYPASS_RS1    rs1=15 rs2=14 wb_write=1 wb_rd=15 wb_data=0x29f2fa39 -> rs1_data=0x29f2fa39 rs2_data=0xe000000e
[PASS] seq=crv_seq_0                              cyc=16 op=RK_X0_ACCESS     rs1=2 rs2=22 wb_write=1 wb_rd=0 wb_data=0xbee3351d -> rs1_data=0xe0000002 rs2_data=0xf1efe7cc
[PASS] seq=crv_seq_0                              cyc=17 op=RK_BYPASS_RS1    rs1=18 rs2=2 wb_write=1 wb_rd=18 wb_data=0x49437b24 -> rs1_data=0x49437b24 rs2_data=0xe0000002
[PASS] seq=crv_seq_0                              cyc=18 op=RK_RANDOM        rs1=22 rs2=14 wb_write=1 wb_rd=7 wb_data=0xd8638121 -> rs1_data=0xf1efe7cc rs2_data=0xe000000e
[PASS] seq=crv_seq_0                              cyc=19 op=RK_PLAIN_WRITE   rs1=12 rs2=5 wb_write=1 wb_rd=2 wb_data=0xb25374cb -> rs1_data=0xe000000c rs2_data=0xe0000005
[PASS] seq=crv_seq_0                              cyc=20 op=RK_BYPASS_RS2    rs1=8 rs2=31 wb_write=1 wb_rd=31 wb_data=0xbdd941ab -> rs1_data=0xe0000008 rs2_data=0xbdd941ab
[PASS] seq=crv_seq_0                              cyc=21 op=RK_BYPASS_RS1    rs1=24 rs2=12 wb_write=1 wb_rd=24 wb_data=0xf361a62d -> rs1_data=0xf361a62d rs2_data=0xe000000c
[PASS] seq=crv_seq_0                              cyc=22 op=RK_RANDOM        rs1=24 rs2=21 wb_write=0 wb_rd=6 wb_data=0x7051a5b9 -> rs1_data=0xf361a62d rs2_data=0xe0000015
[PASS] seq=crv_seq_0                              cyc=23 op=RK_NO_WRITE_READ rs1=11 rs2=14 wb_write=0 wb_rd=1 wb_data=0xf682444f -> rs1_data=0xe000000b rs2_data=0xe000000e
[PASS] seq=crv_seq_0                              cyc=24 op=RK_X0_ACCESS     rs1=0 rs2=27 wb_write=1 wb_rd=0 wb_data=0xc59b92d4 -> rs1_data=0x00000000 rs2_data=0xe000001b
[PASS] seq=crv_seq_0                              cyc=25 op=RK_PLAIN_WRITE   rs1=9 rs2=8 wb_write=1 wb_rd=15 wb_data=0x1f7adb27 -> rs1_data=0x894926ad rs2_data=0xe0000008
[PASS] seq=crv_seq_0                              cyc=26 op=RK_RANDOM        rs1=1 rs2=28 wb_write=1 wb_rd=16 wb_data=0x92b7813d -> rs1_data=0xd582ebbd rs2_data=0xe000001c
[PASS] seq=crv_seq_0                              cyc=27 op=RK_BYPASS_RS1    rs1=6 rs2=10 wb_write=1 wb_rd=6 wb_data=0x1701f2f0 -> rs1_data=0x1701f2f0 rs2_data=0x8fa61825
[PASS] seq=crv_seq_0                              cyc=28 op=RK_PLAIN_WRITE   rs1=10 rs2=21 wb_write=1 wb_rd=18 wb_data=0x5ce87aee -> rs1_data=0x8fa61825 rs2_data=0xe0000015
[PASS] seq=crv_seq_0                              cyc=29 op=RK_RANDOM        rs1=18 rs2=8 wb_write=0 wb_rd=3 wb_data=0x76f6a72b -> rs1_data=0x5ce87aee rs2_data=0xe0000008
[PASS] seq=crv_seq_0                              cyc=30 op=RK_X0_ACCESS     rs1=7 rs2=13 wb_write=1 wb_rd=0 wb_data=0x0456aeda -> rs1_data=0xd8638121 rs2_data=0xe000000d
[PASS] seq=crv_seq_0                              cyc=31 op=RK_PLAIN_WRITE   rs1=0 rs2=4 wb_write=1 wb_rd=2 wb_data=0xda05153f -> rs1_data=0x00000000 rs2_data=0xfd50dc5e
[PASS] seq=crv_seq_0                              cyc=32 op=RK_RANDOM        rs1=21 rs2=27 wb_write=0 wb_rd=5 wb_data=0x16135da1 -> rs1_data=0xe0000015 rs2_data=0xe000001b
[PASS] seq=crv_seq_0                              cyc=33 op=RK_X0_ACCESS     rs1=25 rs2=22 wb_write=1 wb_rd=0 wb_data=0xb1ba8af6 -> rs1_data=0xf0f00007 rs2_data=0xf1efe7cc
[PASS] seq=crv_seq_0                              cyc=34 op=RK_RANDOM        rs1=23 rs2=27 wb_write=0 wb_rd=28 wb_data=0x267064fb -> rs1_data=0xe0000017 rs2_data=0xe000001b
