 VCS Coverage Metrics Release U-2023.03_Full64 Copyright (c) 1991-2023 by Synopsys Inc.
[PASS] seq=crv_seq_0                      cyc=85 op=BK_RANDOM          pc=0x20c69c44 branch=0 jal=1 -> taken=0 valid=1 tgt=0xff20be6a
[PASS] seq=crv_seq_0                      cyc=86 op=BK_RANDOM          pc=0xb027436c branch=1 jal=1 -> taken=1 valid=1 tgt=0x7c44d17e
[PASS] seq=crv_seq_0                      cyc=87 op=BK_JAL_AND_BRANCH  pc=0x60b068a4 branch=1 jal=1 -> taken=1 valid=1 tgt=0x247e5b3c
[PASS] seq=crv_seq_0                      cyc=88 op=BK_BACKWARD_BRANCH pc=0xa34af434 branch=1 jal=0 -> taken=1 valid=1 tgt=0x97b336a4
[PASS] seq=crv_seq_0                      cyc=89 op=BK_JAL             pc=0x8c01008c branch=0 jal=1 -> taken=0 valid=1 tgt=0x495b5040
[PASS] seq=crv_seq_0                      cyc=90 op=BK_JAL             pc=0xb44cbb94 branch=0 jal=1 -> taken=0 valid=1 tgt=0xf8f1af02
[PASS] seq=crv_seq_0                      cyc=91 op=BK_FORWARD_BRANCH  pc=0x4bb4d704 branch=1 jal=0 -> taken=0 valid=0 tgt=0x7854e00c
[PASS] seq=crv_seq_0                      cyc=92 op=BK_FORWARD_BRANCH  pc=0xfadf9bb4 branch=1 jal=0 -> taken=0 valid=0 tgt=0x5e17bcd6
[PASS] seq=crv_seq_0                      cyc=93 op=BK_BACKWARD_BRANCH pc=0x6fb424f4 branch=1 jal=0 -> taken=1 valid=1 tgt=0x63daeddc
[PASS] seq=crv_seq_0                      cyc=94 op=BK_FORWARD_BRANCH  pc=0x07c3f8f0 branch=1 jal=0 -> taken=0 valid=0 tgt=0x139c34f4
[PASS] seq=crv_seq_0                      cyc=95 op=BK_BACKWARD_BRANCH pc=0xbe52a310 branch=1 jal=0 -> taken=1 valid=1 tgt=0xbb8308c6
[PASS] seq=crv_seq_0                      cyc=96 op=BK_BACKWARD_BRANCH pc=0x4ad4c02c branch=1 jal=0 -> taken=1 valid=1 tgt=0xfd2b9c76
[PASS] seq=crv_seq_0                      cyc=97 op=BK_RANDOM          pc=0x04112644 branch=1 jal=1 -> taken=1 valid=1 tgt=0xb89e891c
[PASS] seq=crv_seq_0                      cyc=98 op=BK_IDLE            pc=0xac423e48 branch=0 jal=0 -> taken=0 valid=0 tgt=0xb07417c6
[PASS] seq=crv_seq_0                      cyc=99 op=BK_BACKWARD_BRANCH pc=0x46acfcf8 branch=1 jal=0 -> taken=1 valid=1 tgt=0x45ad7202
[PASS] seq=crv_seq_0                      cyc=100 op=BK_FORWARD_BRANCH  pc=0xfdc5b28c branch=1 jal=0 -> taken=0 valid=0 tgt=0x61d88522
[PASS] seq=crv_seq_0                      cyc=101 op=BK_BACKWARD_BRANCH pc=0x5caf0458 branch=1 jal=0 -> taken=1 valid=1 tgt=0xfe9958f6
[PASS] seq=crv_seq_0                      cyc=102 op=BK_JAL             pc=0x70284ce8 branch=0 jal=1 -> taken=0 valid=1 tgt=0x82b42b70
[PASS] seq=crv_seq_0                      cyc=103 op=BK_JAL             pc=0x9b486dc0 branch=0 jal=1 -> taken=0 valid=1 tgt=0x27fc846c
[PASS] seq=crv_seq_0                      cyc=104 op=BK_WRAPAROUND      pc=0xb3a31638 branch=1 jal=0 -> taken=0 valid=0 tgt=0xb850f7a4
[PASS] seq=crv_seq_0                      cyc=105 op=BK_BACKWARD_BRANCH pc=0x9adfe978 branch=1 jal=0 -> taken=1 valid=1 tgt=0x27bf9c3c
[PASS] seq=crv_seq_0                      cyc=106 op=BK_IDLE            pc=0x2ee902fc branch=0 jal=0 -> taken=0 valid=0 tgt=0xb432ff86
[PASS] seq=crv_seq_0                      cyc=107 op=BK_FORWARD_BRANCH  pc=0xaca24a2c branch=1 jal=0 -> taken=0 valid=0 tgt=0x1e388d20
[PASS] seq=crv_seq_0                      cyc=108 op=BK_JAL             pc=0x5f43e024 branch=0 jal=1 -> taken=0 valid=1 tgt=0xb1839a34
[PASS] seq=crv_seq_0                      cyc=109 op=BK_JAL             pc=0x1cc69050 branch=0 jal=1 -> taken=0 valid=1 tgt=0x352fa10a
[PASS] seq=crv_seq_0                      cyc=110 op=BK_RANDOM          pc=0xf8ae6104 branch=1 jal=0 -> taken=0 valid=0 tgt=0x44764a94
